Feature,Coefficient,Odds_Ratio,Abs_Coefficient
cat__medical_specialty_Hematology/Oncology,0.8189453385437627,2.2681064911742905,0.8189453385437627
cat__medical_specialty_AllergyandImmunology,0.7427499517981025,2.101707168378928,0.7427499517981025
cat__medical_specialty_Oncology,0.7330864437999832,2.0814951212758857,0.7330864437999832
cat__medical_specialty_Surgery-Plastic,0.6902953556899484,1.994304475439397,0.6902953556899484
cat__repaglinide_Up,0.6266165752366674,1.871268560057037,0.6266165752366674
cat__medical_specialty_Pediatrics-Hematology-Oncology,0.5677801811048517,1.7643461722521832,0.5677801811048517
cat__medical_specialty_Psychiatry,0.5020410191135423,1.6520897787518236,0.5020410191135423
cat__acarbose_Up,0.45726110155074196,1.579741303309535,0.45726110155074196
cat__medical_specialty_Radiology,0.45252287971093835,1.5722738437757109,0.45252287971093835
cat__medical_specialty_PhysicalMedicineandRehabilitation,0.45073151714450443,1.5694598524596441,0.45073151714450443
cat__medical_specialty_InfectiousDiseases,0.45037519412653054,1.5689007174106868,0.45037519412653054
cat__medical_specialty_Anesthesiology,0.4485907135255165,1.5661035410113322,0.4485907135255165
cat__medical_specialty_Surgery-Vascular,0.4217920590067704,1.524691445863958,0.4217920590067704
cat__medical_specialty_Cardiology-Pediatric,0.4165570702229878,1.516730559003581,0.4165570702229878
cat__chlorpropamide_No,0.41217347080816896,1.5100963712469901,0.41217347080816896
cat__glyburide-metformin_Down,0.40136782582087915,1.493866650182269,0.40136782582087915
cat__nateglinide_No,0.36270335192588754,1.4372094505820714,0.36270335192588754
cat__medical_specialty_Psychiatry-Child/Adolescent,0.33586733795914714,1.3991533979531452,0.33586733795914714
cat__medical_specialty_Obstetrics,0.335481719834799,1.3986139630587717,0.335481719834799
cat__payer_code_CH,0.3328129307228711,1.3948863336831985,0.3328129307228711
cat__medical_specialty_Nephrology,0.3327380962054032,1.394781951943222,0.3327380962054032
cat__medical_specialty_Orthopedics,0.33051740941072577,1.3916880146853596,0.33051740941072577
cat__medical_specialty_Gastroenterology,0.29944281932421457,1.3491069018265123,0.29944281932421457
cat__admission_source_id_label_Court/Law Enforcement,0.29730386612195336,1.3462243092629724,0.29730386612195336
cat__admission_source_id_label_HMO Referral,0.2945880139654393,1.3425731233542881,0.2945880139654393
cat__medical_specialty_Family/GeneralPractice,0.2936821946044964,1.3413575452558764,0.2936821946044964
cat__age_[80-90),0.29163034542505145,1.338608103561758,0.29163034542505145
cat__A1Cresult_tested_Not Tested,0.28900757608228483,1.3351018433316169,0.28900757608228483
cat__medical_specialty_OutreachServices,0.28520836623220586,1.3300391344938067,0.28520836623220586
cat__medical_specialty_Missing,0.27984476740730335,1.3229244354072027,0.27984476740730335
cat__diag_2_group_Neoplasms,0.2713107382535807,1.311682597023702,0.2713107382535807
cat__admission_type_id_label_Newborn,0.2544387808096217,1.2897375922351961,0.2544387808096217
cat__medical_specialty_Anesthesiology-Pediatric,0.2535273296898933,1.2885625950202044,0.2535273296898933
cat__age_[70-80),0.21812896742279483,1.243747460180679,0.21812896742279483
cat__medical_specialty_InternalMedicine,0.20966059457571343,1.2332594139807471,0.20966059457571343
cat__medical_specialty_Rheumatology,0.2043219392987286,1.2266930105803688,0.2043219392987286
cat__medical_specialty_Pulmonology,0.20087867635976936,1.2224764475331766,0.20087867635976936
num__number_inpatient,0.2002857398835124,1.2217518115088648,0.2002857398835124
cat__payer_code_Missing,0.20001451924604244,1.221420492136074,0.20001451924604244
cat__payer_code_DM,0.18190396694066893,1.199498996790266,0.18190396694066893
cat__medical_specialty_Surgeon,0.18052380051122163,1.1978446304557901,0.18052380051122163
cat__admission_source_id_label_Unknown,0.17847349143013597,1.195391194742471,0.17847349143013597
cat__metformin_Down,0.17565896781752707,1.1920314682312136,0.17565896781752707
cat__tolazamide_No,0.17553715823579022,1.19188627621972,0.17553715823579022
cat__A1Cresult_>7,0.1746713808872238,1.1908548146521618,0.1746713808872238
cat__medical_specialty_Urology,0.16320567608679146,1.177278802886406,0.16320567608679146
cat__admission_type_id_label_Emergency,0.1610027591994733,1.1746882100084903,0.1610027591994733
cat__diag_1_group_Injury,0.14775604417820573,1.159230060942537,0.14775604417820573
cat__medical_specialty_Surgery-General,0.14666124910662579,1.1579616360443454,0.14666124910662579
cat__age_[90-100),0.1453023228253339,1.15638912025291,0.1453023228253339
cat__A1Cresult_>8,0.1434042935798395,1.1541963415208727,0.1434042935798395
cat__payer_code_SP,0.1424065048052442,1.1530452717253834,0.1424065048052442
cat__nateglinide_Steady,0.139301172418897,1.1494702366091991,0.139301172418897
cat__admission_source_id_label_Transfer from another health care facility,0.13377659555602217,1.1431374091385094,0.13377659555602217
cat__medical_specialty_Podiatry,0.1286623284656715,1.137306023449503,0.1286623284656715
num__admission_type_id,0.12560038930871786,1.133828987555611,0.12560038930871786
cat__glipizide-metformin_No,0.12540144357928762,1.133603439557282,0.12540144357928762
cat__diag_1_group_Musculoskeletal,0.11870425850175317,1.1260368532141478,0.11870425850175317
cat__glimepiride_Down,0.11801414233244445,1.1252600250561744,0.11801414233244445
num__number_diagnoses,0.11608364537978676,1.1230898094781359,0.11608364537978676
cat__admission_type_id_label_Urgent,0.11446521596125916,1.121273637959962,0.11446521596125916
cat__max_glu_serum_>200,0.11303288783231834,1.119668755821364,0.11303288783231834
cat__rosiglitazone_No,0.11221077845388858,1.118748643904609,0.11221077845388858
cat__A1Cresult_Norm,0.11182175176868864,1.1183135054738174,0.11182175176868864
cat__age_[60-70),0.1042740041782686,1.109904531733695,0.1042740041782686
cat__payer_code_MD,0.10346959460452267,1.1090120729017627,0.10346959460452267
cat__admission_source_id_label_Emergency Room,0.09227779940013639,1.0966694338792502,0.09227779940013639
cat__max_glu_serum_Norm,0.0861770590588613,1.089999305471633,0.0861770590588613
cat__glipizide_Down,0.08563121779732852,1.0894045012247828,0.08563121779732852
num__num_medications,0.08369904479612048,1.0873016154838724,0.08369904479612048
cat__diag_1_group_Missing,0.08088535973819741,1.084246591128627,0.08088535973819741
cat__diag_3_group_Digestive,0.0801680083759421,1.0834690842656054,0.0801680083759421
num__time_in_hospital,0.07704262587218724,1.0800881151093187,0.07704262587218724
cat__diag_1_group_Circulatory,0.074055258109473,1.0768663094485822,0.074055258109473
