Component,Explained_Variance_Ratio,Cumulative_Variance
PC1,0.10418944468938612,0.10418944468938612
PC2,0.0813255546735538,0.18551499936293991
PC3,0.0741335002563758,0.2596484996193157
PC4,0.05851529723630981,0.3181637968556255
PC5,0.04852015501918355,0.36668395187480907
PC6,0.04622836448811773,0.4129123163629268
PC7,0.043116498897503595,0.4560288152604304
PC8,0.040440770387099007,0.4964695856475294
PC9,0.037408659155935386,0.5338782448034648
PC10,0.03285912873170556,0.5667373735351704
PC11,0.024522751228548755,0.5912601247637191
PC12,0.022567893356401185,0.6138280181201203
PC13,0.019516077391941066,0.6333440955120614
PC14,0.01834244956290047,0.6516865450749618
PC15,0.01750993253548828,0.6691964776104501
PC16,0.01706823836429333,0.6862647159747435
PC17,0.014786737433304949,0.7010514534080484
PC18,0.013304950595227367,0.7143564040032758
PC19,0.012668380851624344,0.7270247848549002
PC20,0.012386950713863178,0.7394117355687634
